,0,1,2,3,4,5,6,7
40,Emilie,6.0,Suisse,Agréable,"La proximité avec le parc,  les grandes piscines intérieures et extérieures assez chauffée pour les enfants, la gentillesse du personnel du bar.","Le lit bébé pour notre fille de 2ans !  Cet hôtel doit accueillir une multitude d'enfants et pourtant le lit se résumait à un voeux lit parapluie avec un drap blanc trop grand.  Pas de drap Disney sympa,  pas de petit kit d'arrivée, de petit savon ou produit de soin pour les enfants. C'est limite pour un 4*. Le service minimum dans la chambre.  Il fallait toujours réclamer pour avoir du papier toilette,  de l'eau ou même des cotons-tiges. Tout est disponible gratuitement mais rien n'est mis dans la chambre.",Mai 2022,Commentaire envoyé le 14 juin 2022
41,Valène,8.0,France,Très bien,"le décor, le personnel et la proximité avec le parc",Pour le prix déçue de ne pas voir les personnages dans l’hôtel. la TV ne fonctionnait pas le 1er jour et pas de capsule à café à côté de la machine à café.,Juin 2022,Commentaire envoyé le 11 juin 2022
42,Anaïs,8.0,France,Super !,"Chambre très spacieuse, propre Superbe vue sur le lac",Pas de café/thé à disposition dans les chambres  Manque de serviettes et de prises électriques,Mai 2022,Commentaire envoyé le 2 juin 2022
43,Etienne,8.0,Suisse,Nous avons passé un très bon séjour dans l’ensemble!,"• le buffet Cape-Cod, petit-déjeuner et dîner est de bonne qualité, heureusement au prix, certes, mais même les plats de poissons et fruits de mer sont savoureux , rare dans une telle industrie! • les cast members (employés) se donnent énormément de peine pour être avenants et sympathiques (même sur une journée rouge et noire en fréquentation)  • les chambres sont confortables et fonctionnelles  • les flux et infrastructures sont bien pensés","rien de trop significatif à signaler ; • rapport qualité-prix on ne reviendra pas dessus c’est Disney c’est ainsi et on est post-covid soit • mal reçu au desk Concierge pour une demande, pas gravissime, je m’attendais pas à des miracles clé d’or , je voulais juste me renseigner s’il y avait une chance de déplacer une réservation buffet soir de 45 minutes en anticipant , la réponse du monsieur: « c’est ça ou McDo estimez vous heureux de pouvoir dîner avec vos enfants » j’aurais préféré un « désolé rien n’est possible pour ce soir » pour un 4* à ce tarif…",Mai 2022,Commentaire envoyé le 28 mai 2022
44,Emilie-julien,8.0,France,"Un très bel hôtel, un très beau séjour malgré quelques petits problèmes au démarrage.","L'hôtel, sa situation, sa décoration, les équipements qu'il propose correspondent véritablement à nos attentes lors de la réservation. Cela a été une parenthèse magique, enchantée pour notre famille.","Nous n'avons pas eu de chambres adjacentes alors que nous l'avons demandé. Après l'enregistrement, le personnel nous a indiqué qu'un sms nous serait envoyé pour nous prévenir que les chambres étaient prêtes, mais nous ne l'avons jamais reçu. Il y a enfin eu un problème au moment de l'enregistrement des cartes pour accéder aux chambres ; nous nous sommes rendus compte qu'elles n'étaient pas activées, devant la porte de la chambre [...]. Dommage. Malgré ces désagréments dont on pourrait ce passer compte tenu du prix de l'hôtel, le séjour s'est très bien passé.",Mai 2022,Commentaire envoyé le 21 mai 2022
45,Emmanuel,7.0,France,Bien,,la qualité de la restauration,Mai 2022,Commentaire envoyé le 16 mai 2022
46,Romain,6.0,France,Agréable,Disney accueil parfait,La chambre :  Lit 140  matela qui a vecu Robineterie non vice qui tourne sur elle meme Chambre besoin d un coup de jeune Pour 350 euro la nuit ......,Mai 2022,Commentaire envoyé le 7 mai 2022
47,Calot,7.0,France,ULTRA CHER !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,Nous allons à l'hotel à coté du Parc Disney donc avec des enfants. Le menu Enfant 30€ et le petit déjeuné 23€ pour un enfant de 4 ans est tout simplement aberrant!!!!!!!!!!! et même pour un enfant de 9 ans.,Avril 2022,Commentaire envoyé le 2 mai 2022
48,Arnaud,7.0,France,.SOS doudous laisse un goût amer...,La chambre est spacieuse et bien équipée. L'hôtel est grandiose est super bien place à côté du parc,"Nous avons oublié les doudous dans la chambre. Nous avons appelé l'hôtel immédiatement après l'avoir quitté pour les prévenir mais rien a été fait... Il est désolant que dans un hôtel à ce prix, qui reçoit des milliers d'enfants chaque jour, dans un parc qui émerveille les enfants, aucun service doudous perdus soit mis en place et que les doudous ne soient pas mieux considérés que cela...",Mars 2022,Commentaire envoyé le 29 avril 2022
49,Laurence,6.0,France,"Site de l'hôtel idéal,  qualité équipements et chambres moyenne",Le personnel a l'écoute . La propreté et le calme.,Chambre familiale exiguë.  Salle de bains vétuste.  Rapport qualité- prix pas adapté du tout.,Avril 2022,Commentaire envoyé le 28 avril 2022
50,Sylvie,8.0,France,"Très bon séjour, dommage que le beau temps n'y était pas.","Super petit déjeuner et le personnel trop gentil ! Par contre notre chambre était un peu vieillotte, je m'attendais à mieux.","La déco faisait vieillotte, télé que nous l'avions connue il y a quelques années.",Mars 2022,Commentaire envoyé le 24 avril 2022
51,Gilles,6.0,France,"Très bel hôtel, bien situé à l'entrée du parc. Mais absolument pas confortable, literie : une cata","La situation de l'hôtel est top, juste à côté du parc. On est directement plongés dans l'ambiance Disney..  Le restaurant est excellent, heureusement car très très cher...","Literie absolument pas au niveau pour le prix demandé... le matelas : une vraie planche, on se réveille avec un mal de dos pas possible. Les oreillers mous.. salle de bain vieillotte. Pour le prix payé ce n'est absolument pas normal de dormir aussi mal...",Mars 2022,Commentaire envoyé le 19 avril 2022
52,Dominique,8.0,France,Très correct prix en rapport avec les prestations,Cadre situation Pdj en chambre,Un p’tit coin repas plus pratique,Mars 2022,Commentaire envoyé le 13 avril 2022
53,Coralie,7.0,France,Bien,L emplacement par rapport au parc,L'impossibilité pour mon fils de prendre une photo avec le personnage car il était trop tard .....,Mars 2022,Commentaire envoyé le 12 avril 2022
54,Corinne,8.0,Israël,Très bien,La cjambre etait grande. Le personnel tres accueillant. La chambre propre. Le lac magnifique et la proximité a disney extra.,La chambre est trop loin de l ascenseur. 323 pas pour y accéder  Il n y a pas de café et de restaurant a part le petit dejeuner. L acclim ne marche pas trop bien.,Avril 2022,Commentaire envoyé le 11 avril 2022
55,Franck,8.0,France,Très bien,Le décor  La réaction pour nous changer de chambre (10min),Je pense qu’il mette au second plan les réservations Booking.com  Heureusement après un appel à la réception on nous a changer de chambre,Avril 2022,Commentaire envoyé le 9 avril 2022
56,Anne-sophie,7.0,Belgique,Bien,"le confort, l’amabilité, le fait qu’on puisse voir des personnages de Disney","le fait qu’on débarrasse la table du déjeuner alors que je n’avais pas fini, 28€ pour un buffet à volonté et qu’on débarrasse la table ça fait cher payé.",Avril 2022,Commentaire envoyé le 9 avril 2022
57,Jennifer,7.0,France,passable,la propreté des lieux,nous devions avoir une baignoire et deux lits doubles. Et nous avons eu un lit double et un lit superposé ainsi qu’une douche… quelle déception,Avril 2022,Commentaire envoyé le 8 avril 2022
58,Marie,8.0,France,Très bien,"La chambre, la rencontré avec Mickey",Le prix du buffet,Avril 2022,Commentaire envoyé le 2 avril 2022
59,Nor,8.0,France,Très bien,,la douche c une catastrophe,Mars 2022,Commentaire envoyé le 1 avril 2022
60,Keitoun,8.0,France,"Très bon séjour,  à renouveler","La situation, le compass club car on est chouchoute","Un seul peignoir pour 2 personnes,  l'absence de gel douche dans la salle de bain",Mars 2022,Commentaire envoyé le 30 mars 2022
61,Marie,6.0,France,tres bon séjour,"La proximité du parc, le décor et thème de l’hôtel. personnel agréable","chambre très loin de l’entrée, j’ai du traverser des couloirs infinis pour y accéder avec ma fibromyalgie c’est très compliqué de marcher autant avec les douleurs chroniques",Mars 2022,Commentaire envoyé le 30 mars 2022
62,Lidia,8.0,France,Hotel classe     personnel souriant    chambre agréable et lit confortable,Tout proche du parc Disney Bel hôtel bien classe,La machine à café complètement à l opposé de la chambre  La lumière et le bruit à côté du sauna  hamam,Mars 2022,Commentaire envoyé le 30 mars 2022
63,Aurélie,7.0,Belgique,sympa,le côté féerique les détails de disney,- longue attente au check in le soir  - lit double 1m40 - le prix du petit déjeuner  - la chambre tout au bout de l’hôtel  - pas de brosse pour les toilettes,Mars 2022,Commentaire envoyé le 29 mars 2022
64,Kahina,8.0,France,Magnifique,Les réceptionnistes étaient top et tout les autres personnels de l’hôtel était top. :-),Certains défauts dans la salle de bain,Mars 2022,Commentaire envoyé le 28 mars 2022
65,Vincent,8.0,France,Très bon séjour détente en famille,"La proximité de l'hôtel par rapport au Parc grace à la navette gratuite. Le restaurant de qualité mais des prix 4* : 38€ le buffet du soir sans les boissons, 28 le petit déjeuner.",Pourquoi nous punir en nous installant dans la chambre la plus loin de la réception ? ( 3394 au fond du couloir aile Est ) Je n'ai jamais vu un couloir aussi long ! ( je pense qu'il y a record ) Est-ce parce que nous avons réservé avec Booking ?,Mars 2022,Commentaire envoyé le 28 mars 2022
66,Jonathan,8.0,France,Parfait.,Propreté et proximité des parcs,,Mars 2022,Commentaire envoyé le 26 mars 2022
67,Daniel,7.0,France,Bien pour les enfants moins pour les adultes,"Les petites attantions, le décor, le personnel. La prestation dans son ensemble était bien surtout pour les enfants qui étaient très contents.","La localisation de la chambre, lorsque j'ai fais la réservation j'avais demandé à ce que les chambres soient à côté mais à mon arrivée l'info n'avait pas été transmise par booking d'après Disney. Néanmoins les cast memebers ont réussi à mettre les chambres côte à côte mais à l'autre bout de l'hôtel ce qui est le point négatif de mon séjour, presque 5 minutes de marche.",Mars 2022,Commentaire envoyé le 26 mars 2022
68,Pascal,7.0,Belgique,Un peu déçu,,"J ai connu l hôtel à ses débuts, la deco etait plus chic",Mars 2022,Commentaire envoyé le 23 mars 2022
69,Aurore,6.0,France,Agréable,il n’y a rien à dire sur le personnel très souriant et accueillant au top,la chambre pas insonorisée il n’y a pas l’équipement de la description type bouilloire la propreté n’était pas à 100% poussière dans la chambre poils au niveau sanitaire  et pour une chambre supérieur je ne vois absolument pas le plus d’une chambre standard,Mars 2022,Commentaire envoyé le 21 mars 2022
70,Marielle,8.0,France,Très bon hôtel pour un séjour à Disneyland,La proximité des parcs La propreté de l'hôtel La prise en charge rapide à l'arrivée Très bon accueil pour les petits déjeuners,La réception à l'étage quand nous arrivons du parc donc nous devons chercher lorsque nous ne connaissons pas l'hôtel Peu de pression dans la douche Le matelas un peu trop dur,Mars 2022,Commentaire envoyé le 19 mars 2022
71,Lauren,7.0,France,Bien,proximité du parc  literie confortable,"douche. Eau trop chaude ou trop froide, pas possible de régler",Mars 2022,Commentaire envoyé le 19 mars 2022
72,Mireille,8.0,France,"bon séjour mais revoir points négatifs, meubles vieillissants","l’ambiance, le personnel, les chambres spacieuses, le service","le chauffage ne fonctionnait pas, la commode tiroirs défectueux,",Mars 2022,Commentaire envoyé le 19 mars 2022
73,Marie,8.0,France,excellent séjours,magnifique hotel  superbe piscine bon accueil,petit déjeuné très chère et moyen pas assez de choix,Mars 2022,Commentaire envoyé le 14 mars 2022
74,Elodie,7.0,France,séjour agréable,l emplacement,l immensité,Mars 2022,Commentaire envoyé le 13 mars 2022
75,Marine,7.0,La Réunion,bien,sa beauté qui fait rêver,"trop type aéroport, pas assez de personnalisation avec les clients, pas assez d’écoute à la conciergerie sachant qu’avant de venir le numéro est toujours injoignable",Mars 2022,Commentaire envoyé le 12 mars 2022
76,Danitza,8.0,Belgique,Embarquez pour une croisière avec Donald,"Le cadre, la gentillesse du personnel, le petit-déjeuner.",Les lits sont petits pour deux adultes. Lit bebe = lit parapluie (prévoir un matelas de voyage en plus).,Mars 2022,Commentaire envoyé le 12 mars 2022
77,Emilie,8.0,Allemagne,Très bien,"La situation avec ma proximité du village Disney, la vue sur le lac, le confort de la literie",Le rapport qualité prix,Mars 2022,Commentaire envoyé le 11 mars 2022
78,Sarah,8.0,France,Très bon séjour,"Le personnel est très adapté et réactif. L’hôtel est joli. Les prestations sont de qualité pour le prix que l’on paye. La vue lac est sublime, je recommande fortement cet hôtel.","Les rideaux de la chambre ne sont pas du tout occultants. Il m’a été très difficile voir impossible de dormir sans le noir complet. J’ai déjà réservé un nouveau séjour en janvier et je conseille de prendre un masque de voyage pour les personnes comme moi.. je me suis endormie d’épuisement à 6h30.  L’eau de la piscine comme tous les hôtels disney mériterait d’être plus chaude. Je vous conseille de prendre votre petit déjeuner au New York, plus calme pour le même prix.",Mars 2022,Commentaire envoyé le 11 mars 2022
79,Demay,8.0,France,"Top, merci. l hôtel est très bien situé par rapport au parc. tout peut se faire à pieds","très bon séjour, tout était bien . Piscine top",les chambres un peu vétustes,Mars 2022,Commentaire envoyé le 10 mars 2022
80,Anne-laure,8.0,France,Très bien,Accueil toujours aussi agréable. Un très très grand plaisir de revenir à chaque fois dans cet hôtel 😊,Le lit inférieur n'avait pas de drap. Donc très compliqué pour dormir dedans. Le fait de voir qu'une prise électrique avait pris feu auparavant n'est pas très rassurant quand nous devons branché une machine pour la nuit.,Mars 2022,Commentaire envoyé le 9 mars 2022
81,Aurélie,8.0,France,Très bel hôtel,"Le cadre, la proximité avec le parc, le thème. Le personnel est particulièrement agréable c'est un plaisir","L'hôtel à beaucoup de qualité, toutefois le tarif est vraiment très élevé. C'est le prix à payer pour la proximité j'imagine, mais tout de même..",Mars 2022,Commentaire envoyé le 8 mars 2022
82,Sarah,8.0,France,très bien,l’ambiance et le personnel,l’emplacement de la chambre,Mars 2022,Commentaire envoyé le 8 mars 2022
83,Cyrille,8.0,France,très bien,"le lit confortable , le calme , la restauration autour","l’emplacement, le manqué d’équipement et aussi la décoration un peu vieille",Mars 2022,Commentaire envoyé le 7 mars 2022
84,Carmen,7.0,France,Bien,La prestation de l'hôtel  L'hôtel n'a pas des chambres abîmées avec des coups partout. Le confort  Le standing de cet hôtel Le bar c'est super La proximité avec le parc,"Les poils ou cheveux trouvés sur la taie d'oreiller  La salle de bain, en prenant un bain, vous voyez toutes les choses non nettoyés. Un moment de détente qui se transforme en un moment je veux Vite sortir de la....",Mars 2022,Commentaire envoyé le 7 mars 2022
85,Audrey,8.0,France,très bon séjour en famille.,la propreté et le confort de la chambre.  la disponibilité de 2 lits parapluie pour nos jumeaux et la gentillesse du personnel.  le passage de minnie le soir à l’hôtel était très appréciable.,pour trouver un côté négatif… cafetière dans la chambre mais pas de dosettes à dispo.,Mars 2022,Commentaire envoyé le 5 mars 2022
86,Aurélie,7.0,France,"Super, mon séjour aurait été excellent si ma chambre ne donnait pas sur la route,Bruit toute la nuit","La piscine, la propreté de la chambre et de l'hôtel, le restaurant cape cod, la sympathie et le professionnalisme des agents, l'emplacement par rapport au parc","La chambre donnait sur la route qui est très très empruntée, une horreur pour dormir, j'ai  passé une très mauvaise nuit, je n'avais pas l'impression que le double vitrage soit d'actualité, la seule déception pour cet hotel",Mars 2022,Commentaire envoyé le 3 mars 2022
87,Patrick,8.0,France,très bien,proche parcs et rer,,Mars 2022,Commentaire envoyé le 2 mars 2022
88,Momo,8.0,France,Bien,la proximité avec le parc,le tarif des petits déjeuners et repas … c’est vraiment abusé !,Février 2022,Commentaire envoyé le 1 mars 2022
89,Dominique,7.0,Belgique,Sejour a refaire dans une autre aile de l hotel.,proprete - amabilite du personnel - equipements dans l hotel,Vue de la chambre sur un parking de service et de poubelles. Petites odeurs nauseabondes jusqu a notre chambre. Balcon non nettoye.,Février 2022,Commentaire envoyé le 26 février 2022
90,Jennifer,6.0,France,Agréable,,Les lumieres cote parking qui reste allumé tt la nuit empechant de dormir car pas de volet dans les chambres,Février 2022,Commentaire envoyé le 26 février 2022
91,Sheekka,7.0,France,C’était agréable,,Il manque des prises  à côté du lit pour charger le téléphone.,Février 2022,Commentaire envoyé le 26 février 2022
92,Nathalina,8.0,France,Très bien,"Super hôtel, très beau cadre, chic, majestueux, belle chambre et belle vue.. Personnel accueillant, aimable et sécurisant pour controle sacs et pass sanitaire. Piscine et déco magnifique. Navette au top.",Le tarif des repas et surtout du petit déjeuner 😨 Manque de petits intentions comme petits cadeaux à offrir aux enfants à l'arrivée de l'hôtel...ou petits souvenirs mickey...,Février 2022,Commentaire envoyé le 25 février 2022
93,Deborah,8.0,France,Super séjour en famille dans un très joli cadre dépaysant a refait e,Petit déjeuner très bon mais un peu cher  Personnel toppp très accueillant La piscine  La proximité avec les parcs Disneyland (a pied)  Et Disney village… A refaire,Rien,Février 2022,Commentaire envoyé le 23 février 2022
94,Eleonora,8.0,Suisse,"magnifique séjour avec les enfants proches des parcs, la piscine au top avec tout le matériel nécessaire pour les enfant",la piscine et l’emplacement,,Janvier 2022,Commentaire envoyé le 22 février 2022
95,Benamrane,6.0,France,Bien,L'emplacement est top par rapport au parc Disney et les alentours sont magnifiques. Le personnel est très agréable et l'hôtel paraît luxueux.,"Les chambres supérieures n'ont rien d'extraordinaire, je m'attendais à beaucoup mieux. Pas de peignoirs, ni de chaussons alors que c'est un hôtel 4☆, la vue sur un dépôt n'était pas top non plus. J'avais laissé un message à ma réservation pour qu'une petite attention à ma fille soit portée car elle fêtait ses 5 ans mais rien...",Février 2022,Commentaire envoyé le 20 février 2022
96,Julien,7.0,France,Bien,Le cadre la beauté du lieu la proximité avec le parc,Le manque de place de prises électriques et la taille du lit dans la chambre,Février 2022,Commentaire envoyé le 20 février 2022
97,Flavien,6.0,France,Service au top mais tarif abusif pour son positionnement et la vue.,le service plus du club compass,"A plus de 400 euros la nuit on peu s’attendre à avoir une vue autre que le stockage dès sac de linge sale de l’hôtel. parking trop petit, plus de 30 mn avant d’avoir une place pour ce garer Hôtel trop loin du parc et du village",Février 2022,Commentaire envoyé le 15 février 2022
98,Laetitia,7.0,France,correct,la piscine,honteux le prix du petit déjeuner,Février 2022,Commentaire envoyé le 14 février 2022
99,Bryan,8.0,France,Très bien,,Trop froid dans la chambre,Février 2022,Commentaire envoyé le 12 février 2022
100,Armenio,7.0,France,Très bien,,Salle de bain un peu petite .,Février 2022,Commentaire envoyé le 12 février 2022
101,Stephanie,8.0,France,Très bien,"Emplacement, boutique, petit déjeuner en room service, chambre, parking, personnel",Des petits défauts de peintures et trous dans la porte de salle de bain,Janvier 2022,Commentaire envoyé le 11 février 2022
102,Jean-pierre,8.0,France,Très bien,parfait,,Février 2022,Commentaire envoyé le 10 février 2022
103,Jean-pierre,8.0,France,très bon confort et bel emplacement,très bel établissement . très proche des parcs et de Disney village  personnel aux petits soins,la salle de bain mériterait une renovation,Février 2022,Commentaire envoyé le 10 février 2022
104,Sandy,8.0,France,Très bien,La proximité du parc et très bien tous c estbtres bien passé pour une première fois a l hotel à coter de disneyland,,Février 2022,Commentaire envoyé le 8 février 2022
105,Christina,8.0,France,féerique et magique,"le personnel était super, la nourriture était top ! l’hôtel est vraiment très beau !",la piscine chauffée n’était pas assez chaude beaucoup de personne se sont plaintes. nous sommes restée 10 mins,Février 2022,Commentaire envoyé le 6 février 2022
106,Istvan,6.0,Belgique,"Bien, mais je m’attendais à mieux.",L’hôtel était vraiment bien situé par rapport au parc : Accès aisé à pied en 5min. Le parking gratuit est avantageux.,"La chambre était un peu trop cher pour l’équipement. Une chambre supérieur devrait être justement supérieur au vu des tarifs. La terrasse n’était pas non plus couverte, pour nous les fumeurs par temps de pluie, ce n’était pas vraiment pratique.",Janvier 2022,Commentaire envoyé le 5 février 2022
107,Liv,8.0,France,Très bien,Tout le reste,La réception du restaurant yach club. Réservation faite à 19h45 et on a dû attendre 20h pour être placé,Février 2022,Commentaire envoyé le 4 février 2022
