,0,1,2,3,4,5,6,7
20,Florence,8.0,Suisse,Séjour sympa,"Cadre dans la forêt, bâtiments principaux, piscine","Les bungalows sont vieillissants, beaucoup de choses abîmées ou cassées. On était 6 pour 6 jours et on avait 4 rouleaux de papier toilettes... Personne n'est venu en rajouter pendant la semaine.",Janvier 2023,Commentaire envoyé le 9 janvier 2023
21,Amélie,7.0,Belgique,Bien,"La situation, la. Piscine",La propreté et l'entretien du bungalow,Janvier 2023,Commentaire envoyé le 8 janvier 2023
22,Lisa,7.0,Belgique,"nous avons passé un excellent moment, dommage pour les deux choses citées","l’ambiance, le personnel, la vue, l’intimité qu’on peut avoir dans le chalet","le plancher de notre chalet faisait un bruit insupportable pas possible de marcher la nuit pour aller où que ce soit sans réveiller tout le monde.. Lave vaisselle qui ne fonctionne pas malgré plusieurs tentatives, c’est dommage..",Janvier 2023,Commentaire envoyé le 6 janvier 2023
23,Alexis,8.0,Belgique,Très bien,Idéal pour du repos après une journée à Disneyland Paris.,Literie très très mauvaise. On sent les ressorts sous le matelas. Pas assez équipé en vaisselle.  Propreté à revoir.,Janvier 2023,Commentaire envoyé le 6 janvier 2023
24,Alain,8.0,France,Très bien,Très bon séjour en famille,,Novembre 2022,Commentaire envoyé le 2 janvier 2023
25,Arnaud,7.0,Belgique,Cher et trop court,la décoration,"plusieurs choses légèrement abîmées: porte de la douche, porte savon, plan de travail, porte des armoires bancales,…",Janvier 2023,Commentaire envoyé le 2 janvier 2023
26,Patricia,8.0,France,très bon séjour,pleine nature,,Décembre 2022,Commentaire envoyé le 30 décembre 2022
27,Nicolas,9.0,France,Fabuleux,Le décor et la piscine,Les poignets de portes casses,Novembre 2022,Commentaire envoyé le 28 décembre 2022
28,Gordinne,7.0,Belgique,Bien,La tranquillité,Les lits trop petits et trop durs,Novembre 2022,Commentaire envoyé le 28 décembre 2022
29,Antoine,7.0,France,bof,rien,logement mal chauffé les lits 0 confort,Décembre 2022,Commentaire envoyé le 19 décembre 2022
30,Vanessa,8.0,France,Très bien,"Bungalow spacieux avec deux douches et sanitaires, calme, très propre, superbe piscine",lit double pas très stable et petit mais pour une nuit c'était correct,Novembre 2022,Commentaire envoyé le 19 décembre 2022
31,Alexandre,8.0,Belgique,très bien,l environnement et les équipements,ne pas avoir été informé que la piscine n était pas disponible,Décembre 2022,Commentaire envoyé le 16 décembre 2022
32,Rudy,7.0,France,Bien,le côté familial,le ménage laissé à désirer nous n’avons pas pu nous servir du frigo à cose de l’odeur la salle de bain n’était pas très propre et le lit bougé et grincé beaucoup,Décembre 2022,Commentaire envoyé le 14 décembre 2022
33,Laura,9.0,France,Fabuleux,,L eau n était pas très chaude dans les douches.,Décembre 2022,Commentaire envoyé le 13 décembre 2022
34,Floriane,8.0,France,Très bien,l’esprit Disney,fermeture de la piscine sans avoir été prévenu au préalable,Décembre 2022,Commentaire envoyé le 13 décembre 2022
35,Sarah,8.0,France,Bon séjour,"Pratique, calme","Manque sèche cheveux et 2 lattes d'un lit cassées, manquantes",Décembre 2022,Commentaire envoyé le 13 décembre 2022
36,Lna078,7.0,France,Bien,"Le petit chalet est agréable La petite épicerie a des prix corrects. Le personnel très gentil, à la réception comme à la récupération du petit déjeuner.",Le ménage du sol car il était collant. Aucun explication sur la clim réversible Grand lit du bungalow 222 qui semble usé,Décembre 2022,Commentaire envoyé le 11 décembre 2022
37,Dominique,8.0,Belgique,Superbe séjour en famille,"La piscine, l'excellent buffet au restaurant, la beauté de l'endroit","Comme partout chez Disney, le prix ...",Décembre 2022,Commentaire envoyé le 8 décembre 2022
38,Fatih,8.0,France,Très bien,"Propreté, confort, proximité de disney","Lits pas confortables, poubelle non vidée",Décembre 2022,Commentaire envoyé le 8 décembre 2022
39,Delphine,7.0,Belgique,Bien,La tranquillité,Pas assez de prises pour un bungalow 6 personnes.  Le lit adulte fait un peu lit de camp comparé aux hôtels disney,Novembre 2022,Commentaire envoyé le 8 décembre 2022
40,Isabelle,9.0,France,Fabuleux,"Nous avons tout aimé de manière générale, c'était propre et chaleureux.","La piscine était fermée c'était vraiment vraiment dommage, les coins au pied des lit n'étaaient pas fait",Décembre 2022,Commentaire envoyé le 7 décembre 2022
41,Pascale,9.0,Belgique,Très agréable séjour,"Les bungalows, la piscine qui était fermée mais on la connaît et l emplacement dans les bois. Les bungalows sont très agréables et le chauffage fonctionnait qd on est arrivé à 22h et qu il faisait 1 degré",Le petit déjeuner est vraiment sommaire et le pain vraiment pas terrible. Dommage pour un hôtel Disney,Décembre 2022,Commentaire envoyé le 6 décembre 2022
42,Mm,7.0,France,Bien,,Fuite de la douche dans la salle de bain,Novembre 2022,Commentaire envoyé le 6 décembre 2022
43,Benjamin,8.0,France,"Personnel au top, toujours souriant et toujours compétent.","Aimé : Tout, comme d'habitude, excepté... Le prix du petit déjeuner, devenu totalement prohibitif. Ah si, la piscine, que je ne connaissais pas est parfaite !!",Prix petit déj.,Décembre 2022,Commentaire envoyé le 5 décembre 2022
44,Manonjq,8.0,France,Très bien,Localisation,Le chauffage dans ma chambre ne fonctionnait pas,Novembre 2022,Commentaire envoyé le 5 décembre 2022
45,Fabian,9.0,Belgique,Magnifique séjour,"L'emplacement , le calme , le retour a la nature . Le magasin vend les articles de première nécessité Le saloon est très agréable Le restaurant est super bon  La literie super confortable",La piscine un peux trop froide  Le manque de prise au niveau du lit dans les chambres et surtout dans la salle de bain  Manque de sèche cheveux,Décembre 2022,Commentaire envoyé le 5 décembre 2022
46,Marjorie,9.0,Belgique,Fabuleux,confort de la literie et équipement du logement,,Novembre 2022,Commentaire envoyé le 3 décembre 2022
47,Suzanne,8.0,France,Très bien,"Le cadre en forêt, la propreté et les lits faits à l'arrivée",,Décembre 2022,Commentaire envoyé le 1 décembre 2022
48,Angélina,8.0,France,Super,Tout ! L'ambiance le personnel la piscine le restaurant et le calme !!!! On a très bien dormi c'était super le bungalow était très propre,Pas de volets ou de rideaux suffisamment occultant  On devait libérer le bungalow a 11h a 10h20 on y est retourné après la piscine et les services de ménage avait déjà tout plié,Novembre 2022,Commentaire envoyé le 1 décembre 2022
49,Marion,9.0,France,Au top,"L’accueil génial, le personnel au top, la piscine parfaite, le restaurant top, boutique au top",Rien,Novembre 2022,Commentaire envoyé le 30 novembre 2022
50,Domenica,7.0,Belgique,bien,le village,l emplacement,Novembre 2022,Commentaire envoyé le 22 novembre 2022
51,Jessica,9.0,France,Fabuleux,La piscine très appréciable et en plus les locaux très propre,Pas de sèche cheveux présent alors qu'il était indiqué sur la réservation,Novembre 2022,Commentaire envoyé le 21 novembre 2022
52,Alexis,9.0,France,Fabuleux,"Bungalow très calme et agréable pour les familles , très bien équipés. Environnement très sympa avec restaurant , piscine etc sur place. Agréable surprise",,Novembre 2022,Commentaire envoyé le 21 novembre 2022
53,Mélanie,8.0,France,Très bien,calme,,Novembre 2022,Commentaire envoyé le 21 novembre 2022
54,Naïma,7.0,France,Bien,"Le staff est très professionnel. La piscine est géniale mais souvent froide. Les mobiles homes sont vétustes mais bien équipés. Attention au ménage, poussières, sanitaires etc..",Pas de navette pour le parc Disney. Et les soucis de propreté.,Novembre 2022,Commentaire envoyé le 20 novembre 2022
55,Coraline,9.0,France,Fabuleux,J adore le côté campeur,Manque de déco de Noël à la réception et magasin et à l extérieur,Novembre 2022,Commentaire envoyé le 19 novembre 2022
56,Kathy,9.0,France,Fabuleux,"Le concept des logements, la piscine, le personnel très gentil ! Et l'emplacement proche de Disney",Le matelas pas très confortable,Novembre 2022,Commentaire envoyé le 16 novembre 2022
57,Amélie,8.0,Belgique,Très bien,Le cadre,L'eau froide de la piscine,Novembre 2022,Commentaire envoyé le 16 novembre 2022
58,Veronique,8.0,France,A recommander,Chambre séparée avec douche individuelle,Un manque de vaisselle et attention à la literie :  sommier (lattes de cassées),Novembre 2022,Commentaire envoyé le 14 novembre 2022
59,Pierre-yves,8.0,Belgique,Très bien,,Petit déjeuner cher et a emporter,Novembre 2022,Commentaire envoyé le 14 novembre 2022
60,Jessica,7.0,France,Bien,"Le dépaysement, le village, restaurant excellent",La piscine. Elle est magnifique mais l’eau et la température du bâtiment sont trop froides. Pas top pour des familles avec des petits enfants,Novembre 2022,Commentaire envoyé le 13 novembre 2022
61,Sabine,9.0,France,super,calme et confort,rien,Novembre 2022,Commentaire envoyé le 13 novembre 2022
62,Amélie,8.0,Belgique,Très bien,"Le cadre,. le restaurant, l équipe accueil souriant disponible. Proximité et facilité d accès à disneyland",La température de la piscine un peu trop fraîche,Novembre 2022,Commentaire envoyé le 12 novembre 2022
63,Coralie,7.0,France,Davy Crockett,"La piscine , le restaurant, l'ambiance général.",Pas de porte dans la salle de bain de la chambre parentale et casseroles et poêles sale dans les placards . Bémol pour le nombre de places pour se garer.,Octobre 2022,Commentaire envoyé le 12 novembre 2022
64,Laure,7.0,France,très bien pour une famille et un court séjour,le personnel e la réception  le cadre dans la forêt,ras,Novembre 2022,Commentaire envoyé le 12 novembre 2022
65,Pauline,9.0,France,A nouveau un très bon séjour,Bungalow propre et spacieux au calme  Petit déjeuner à 12€ tout à fait correct,Les heures d’ouverture de la piscine : 15h-22h vraiment assez restreints,Novembre 2022,Commentaire envoyé le 12 novembre 2022
66,Ricardo,9.0,Belgique,bons souvenirs au ranch Davy Croket,"le calme, la proximité des parcs, la fonctionnalité, les 2 salles baiin",L’horaire de la piscine. Nous avons réservé une nuit supplémentaire au Ranch pour profiter de la piscine mais elle n’ouvre qu’à 15h,Novembre 2022,Commentaire envoyé le 12 novembre 2022
67,Mandy212401,7.0,Belgique,Bien,L'ambiance de l'endroit ce n'est pas notre première fois  pour nous et pas la dernière,Nous n'avons pas trop apprécié cette fois ci il y avait de l'eau sale rester dans un évier et la connexion était très mauvaise et même la télé l'image était souvent noir par manque de connexion,Novembre 2022,Commentaire envoyé le 12 novembre 2022
68,Le,9.0,France,Très bien,"Cadre verdoyant dans un décors de Farwest. Nous avons beaucoup aimé le cadre et l'ambiance. Les bungalows sont spacieux, bien équipés et confortables.",Piscine qui n'ouvre qu'à partir de 15h (mais jusqu'à a 22h).,Novembre 2022,Commentaire envoyé le 12 novembre 2022
69,Romain,8.0,France,Séjour appréciable,La proximité du parc (7min en voiture) Le calme de l'emplacement  La piscine ouverte jusqu'à 22h L'épicerie de secours aux prix corrects Le confort de la literie,La taille du lit double (un format queensize serait plus adapté aux grands adultes) L'absence de sèche cheveux  Devoir repasser par l'épicerie pour obtenir un kit vaisselle,Novembre 2022,Commentaire envoyé le 11 novembre 2022
70,Alain,8.0,Belgique,Très bien,Le calme après la foule des parcs.,,Octobre 2022,Commentaire envoyé le 11 novembre 2022
71,Tacha,9.0,France,Fabuleux,"La propreté, la beauté du site, le personnel de la piscine et de la boutique. Le logement.",L'amabilité de la réception selon le personnel... La personne à la barrière de sécurité de l'entrée du ranch pas bien sympathique... La literie.,Novembre 2022,Commentaire envoyé le 7 novembre 2022
72,Flora,9.0,France,Fabuleux,"Le cadre, la décoration, la. Piscine et la gentillesse du personnel","L'absence de consigne, les chambres sont petites, l'autoroute s'entend....",Octobre 2022,Commentaire envoyé le 4 novembre 2022
73,Aurelie,9.0,France,"site très sympa, au calme et proche du Park Disney",le site,le restaurant : trop cher pour un buffet de type cantine,Novembre 2022,Commentaire envoyé le 2 novembre 2022
74,Mimly,7.0,France,Bien,le cadre qui est calme et reposant. le personnel du ranch est juste génial,"la piscine est beaucoup trop froide, les bains chaud ne le sont pas bcp plus hélas .......",Novembre 2022,Commentaire envoyé le 2 novembre 2022
75,Karine,8.0,Belgique,super,la nature,,Octobre 2022,Commentaire envoyé le 31 octobre 2022
76,Anne-sophie,7.0,France,Bien,"Le cadre, les décors, le personnel très agréable et souriant  Rapport qualité prix du buffet correct","Restrictions gouvernementales obligent, la piscine n’est chauffée qu’à 26 degrés! C’est très frais, même les enfants ne voulaient pas se baigner et le toboggan était hors service",Octobre 2022,Commentaire envoyé le 31 octobre 2022
77,Eric,9.0,France,Fabuleux,Situation géographique équipement piscine restaurant du Davy Crockett facilité d'accès,Éclairage dans le mobil home un peu faible,Octobre 2022,Commentaire envoyé le 30 octobre 2022
78,Eric,9.0,France,Fabuleux,"Mobil home confortable, bien agencé, à proximité de la piscine et des commerces du ranch Davy Crockett  Excellent rapport qualité prix et mobil homes pionniers mieux situés  Equipes accueillantes et souriantes, très à l'écoute des besoins spécifiques des locataires, sollicitude et empathie pour des enfants en situation de handicap. J'ai souvent loué un mobil home au ranch et je n'ai jamais été déçu Donc je reviendrai cela va sans dire",,Octobre 2022,Commentaire envoyé le 28 octobre 2022
79,Linda,7.0,Belgique,chouette dépaysement en famille,la piscine ( a part qu elle était froide et que les enfants ne pouvaient pas aller dans le jacuzzi)  la proximité de Disneyland Paris,le fait que ce soit un déjeuner à emporter !  le coffre était défectueux et ils nous avaient promis de le remplacer le lendemain matin quand nous étions à Disney ms ils ne l ont jamais fait ! donc les affaires n étaient pas dans le coffre et c était un risque de vol!,Septembre 2022,Commentaire envoyé le 27 octobre 2022
80,Angèle,8.0,France,magie de disney,"Le ranch Davy Crockett est un lieu très reposant que ce soit en famille, entre amis ou en amoureux. La forêt nous immerge dans un monde féérique. L'automne est une très belle saison pour se rendre au Ranch. La piscine était très sympa, mais aurait été davantage apprécié avec l'eau plus chaude. Merci au personnel du Ranch.",J'aurais préféré que l'eau de la piscine soit plus chaude. Et des chevaux dans le Ranch seraient les bienvenues :) Plus d'activités dans le Ranch seraient également appréciables comme des spectacles le soir sur un thème ranch ou des personnages Disney sur ce même thème qui passeraient dans l'hôtel.,Octobre 2022,Commentaire envoyé le 20 octobre 2022
81,Valérie,8.0,Belgique,personnel au top,nous avons eu un problème avec notre bungalow  forte odeur nauséabonde  le personnel a réagi promptement et dans l’heure nous avons eu accès à un nouveau bungalow,rien,Septembre 2022,Commentaire envoyé le 20 octobre 2022
82,Stephanie,8.0,Suisse,Super séjour en famille !!!!! Il nous tarde de revenir,"Nous avons été accueilli par Albin, un jeune homme très gentil et serviable. Le personnel est souriant, agréable et vraiment gentil. La piscine est superbe et pour toute la famille.  Le bungalow très fonctionnel et très bien équipé.",Il n'y a pas de sèche cheveux dans au moins une des SDB. Le matelas était super confortable par contre le sommier grince énormément du coup dès que l'on bouge ça s'entend.   Il serait bien qu'il y est au moins un torchon dans la cuisine.,Octobre 2022,Commentaire envoyé le 19 octobre 2022
83,Christophe,8.0,Belgique,Très bien,"Piscine, restaurant, accueil.",,Octobre 2022,Commentaire envoyé le 18 octobre 2022
84,Laure,8.0,Belgique,Très bien,Dépaysement total. Pas de bruit.,"Pas de nettoyage de chambre comme dans un hôtel, pourtant le prix y est quand même. Manque un paillasson à l'entrée pour frotter les pieds mouillés qd il pleut dehors.",Octobre 2022,Commentaire envoyé le 17 octobre 2022
85,Clarisse,8.0,France,cours,"bonsoir, super bungalow, super accueil merci à eux même de bonne heure c’est vraiment appréciable quand on fait de la route",la serviette pour la sortie de douche avec des tâches pas terrible pour un hôtel Disney et peu d’échantillons pour 5 personnes de shampoing et après shampoing et de savon.,Octobre 2022,Commentaire envoyé le 16 octobre 2022
86,Nicolas,9.0,Luxembourg,Fabuleux,Le calme et le parking gratuit au ranch mais aussi au parking de Disneyland parc,Une latte cassée sur mon lit,Octobre 2022,Commentaire envoyé le 16 octobre 2022
87,Patrizia,7.0,Belgique,Splash,Tout,Il y a des petites flaques d'eau dans la chambre côté table de nuit et toilette  Pas très propre,Octobre 2022,Commentaire envoyé le 16 octobre 2022
88,Henere,9.0,France,Fabuleux,La piscine,Le lit il grincer trop,Octobre 2022,Commentaire envoyé le 16 octobre 2022
89,Shanon,8.0,France,Très bien,,l’hygiène à revoir,Octobre 2022,Commentaire envoyé le 15 octobre 2022
90,Eléonore,9.0,Belgique,Fabuleux,,Manque de serviette,Octobre 2022,Commentaire envoyé le 15 octobre 2022
91,Dimitri,8.0,France,Bon sejour,"Le cadre, la vue sur la forêt",Les équipements,Octobre 2022,Commentaire envoyé le 14 octobre 2022
92,Mathilde,8.0,Belgique,Très bien,Les bungalows sont confortables et bien équipés. Ils sont situés en pleine nature C est très agréable. La réception et le personnel sont disponibles 24h/24. Le shop et la piscine sont également ouvert tard pour permettre à tous d en profiter.,,Octobre 2022,Commentaire envoyé le 13 octobre 2022
93,Sergio,8.0,Suisse,Très bien,Le cadre est est au rdv par rapport au thème de l'hôtel et le personnel est super souriant du levé au couché.,Le prix du buffet au restaurant est très élevé par rapport aux produits proposés et la variété. Ceci tant pour les adultes que pour les enfants.,Octobre 2022,Commentaire envoyé le 12 octobre 2022
94,Pouyet,7.0,France,Bien,"La tranquillité des chalets, la literie.",La vétusté des joints dans les sanitaires.,Octobre 2022,Commentaire envoyé le 11 octobre 2022
95,Sebastien,9.0,Belgique,Géniale,"C'est la première fois que nous allons au davy crockett une nuit avant d'aller au parc disney, nous avons profité de la piscine vers 17 heures et c'était génial très peux de monde ensuite petit apéro au bar. Nous avons  même passer une partie de la soirée au disney village. Franchement petit séjour agréable en famille et a refaire. Merci pour tout",Je n'ai rien a dire pour cette case. Très bon signe pour vous.,Septembre 2022,Commentaire envoyé le 10 octobre 2022
96,Aurore,9.0,France,Fabuleux,"la piscine et les infra avec le restau, le bar",,Octobre 2022,Commentaire envoyé le 10 octobre 2022
97,Christiane,7.0,Suisse,belle expérience,le concept,les lits trop durs et inconfortables .  lits métalliques bruyants quand on se retourne,Octobre 2022,Commentaire envoyé le 9 octobre 2022
98,Sania,8.0,France,Bien,Le prix,Devoir accéder en voiture jusqu’au ranch,Octobre 2022,Commentaire envoyé le 7 octobre 2022
99,Camille,9.0,France,"Séjour parfait en famille, en pleine nature façon Disney !","Bungalow propre et bien équipé, le principe est vraiment sympa et change des hôtels ""classiques"". Possibilité de préparer les repas sur place. Piscine magnifique. Tous les avantages des hôtels Disney.",,Octobre 2022,Commentaire envoyé le 6 octobre 2022
100,David,7.0,France,Bien mais je ne pense pas que nous reviendrons,endroit calme et reposant mobilhome spacieux et bien équipé les 2 salles de bains et wc sont très appréciables à 6 ! Piscine très agréable et restaurant de très bonne qualité. Proximité du parc (5 mn en voiture) mais voiture indispensable.,"accueil froid, aucune explication donnée pour le fonctionnement du site, nous avons demandé un badge anniversaire la réceptionniste nous a dit ne plus en avoir alors qu’une corbeille pleine de badges était juste derrière elle… pas de ménage ni pour les lits ni pour les serviettes pendant 4 nuits… nous avons réclamé un changement de serviettes et nous en avons eu 4 pour 6… les équipements sont un peu vétustes on voit bien qu’ils ont 30 ans…",Octobre 2022,Commentaire envoyé le 3 octobre 2022
101,Dolorès,7.0,France,Bien,2 salles de bain 2 WC En plein cœur de la forêt Lave vaisselle 10 min en voiture du parc Disneyland,Manque de prise électrique (aucune dans les salles de bain) Matelas 2 personnes peu confortable Pas de bols ni de grandes tasses pour le petit déjeuner. Condensation sur toutes les fenêtres du logement  Pièce de vie assez sombre,Septembre 2022,Commentaire envoyé le 2 octobre 2022
102,Nathalie,9.0,France,Très agréable en famille en pleine nature.,Le cadre dans la forêt,La piscine pourrait être plus propre et c'est dommage qu'elle n'ouvre que de 15h à 22h à partir du dimanche 2/10,Octobre 2022,Commentaire envoyé le 2 octobre 2022
103,Eloiiseek,8.0,France,Logement à proximité de disney,,Dommage qu'il n'y ai pas de navettes depuis le parc Disneyland,Septembre 2022,Commentaire envoyé le 1 octobre 2022
104,Fred,7.0,France,Tout était génial sauf le restaurant,l’emplacement et la maison était superbe !  la piscine magnifique avec les jacuzzi eau chaude !!,"le restaurant est très décevant, un buffet pas terrible dommage ! Rapport qualité /prix n’y est pas ! il manque un vrai restaurant avec service à table .",Septembre 2022,Commentaire envoyé le 30 septembre 2022
105,Géraldine,7.0,France,Très agréable,Dépaysant et très bien décoré. La piscine est top mais il fait un peu froid.,Le matelas est à changer pour certains lits et quasiment tous les lits grincent.,Septembre 2022,Commentaire envoyé le 29 septembre 2022
106,Lionelb,8.0,Belgique,Très bien,Le personnel de l'accueil. Les jeux pour les enfants. Cuisine bien équipée.,,Septembre 2022,Commentaire envoyé le 29 septembre 2022
107,Fabrice,7.0,Belgique,Très bonne alternative aux hôtels Disney,"L'accueil du personnel, vraiment charmant. La possibilité de cuisiner, ce qui permet d'éviter la nourriture désastreuse des hôtels Disney, particulièrement au petit déjeuner.",Quelques petits soucis techniques : la chasse qui coule par exemple,Septembre 2022,Commentaire envoyé le 29 septembre 2022
108,Fabienne,9.0,France,top,la piscine,,Septembre 2022,Commentaire envoyé le 29 septembre 2022
109,Delcourt,7.0,Belgique,Bien,le personnel est très souriant + la piscine est très propre et bien surveillée par des maîtres nageurs - le cottage est propre et la literie est confortable,"Le soir après les activités, c est toujours agréable pour les enfants de se poser devant un petit dessin animé - Malheureusement la télévision qui fonctionne par wifi se coupait tout le temps et donc impossible de regarder la télévision.",Septembre 2022,Commentaire envoyé le 29 septembre 2022
110,Laétitia,9.0,Belgique,Super,"L'ambiance chaleureuse et la proximité de Disney à un prix acceptable.  Les 2 salles de bains, la piscine et le petit magasin.",,Septembre 2022,Commentaire envoyé le 29 septembre 2022
111,Corinne,9.0,France,Fabuleux,idéal pour les familles,,Septembre 2022,Commentaire envoyé le 28 septembre 2022
112,Dileoga,7.0,Belgique,Bien,"Le complexe dans son ensemble: piscine, saloon, petite ferme etc ...  Le cadre dans les bois, au calme.",,Septembre 2022,Commentaire envoyé le 27 septembre 2022
113,Alan,8.0,Belgique,bon séjour,rapport qualité/prix,,Septembre 2022,Commentaire envoyé le 26 septembre 2022
114,Yoann,7.0,France,Bon séjour malgré le manque de propreté sous les lits.,Lieu reposant et agréable avec beaucoup de confort dans les bungalow.,"Le bungalow était super! Néanmoins, c'est notre second séjour et je tenais à vous signaler le manque de propreté sous les lits. Ce n'était pas impeccable sous les lits dans la chambre avec lits individuels et dans la suite parentale, ce n'était pas impeccable non plus et j'y ai retrouvé une chaussette d'enfant blanche et rose et un mouchoir usagé.",Septembre 2022,Commentaire envoyé le 26 septembre 2022
115,Jonathan,9.0,France,Séjour agréable,"L'ambiance, le personnel très accueillant et accessible pour toutes questions.",,Septembre 2022,Commentaire envoyé le 25 septembre 2022
116,Roxane,9.0,États-Unis,Agréable séjour au plus grand plaisir des enfants,"Nous avons adoré la piscine - l’ambiance de la réception, restaurant, saloon - l’esprit cottage en forêt - l’imprégnation Disney/Mickey - la localisation",Nous avons un peu moins aimé le côté service en buffet du restaurant car nous préférons le service à table. Nous avons moins aimé la qualité des hébergements (un peu bas de gamme et vieillissant).,Septembre 2022,Commentaire envoyé le 25 septembre 2022
117,Claire,7.0,France,Bien,"Proximité de Disney, le personnel, la boutique pratique",Eau vraiment très froide à la piscine. Pas de kit de cuisine. Odeur de tabac+++ dans le bungalow. Lits qui grincent++,Septembre 2022,Commentaire envoyé le 25 septembre 2022
118,Pascal,9.0,France,Fabuleux,"Le chalet est très bien,chambres spacieuses,bonne literie,confortable .superbe piscine.",Rien,Septembre 2022,Commentaire envoyé le 23 septembre 2022
119,Nicolas,9.0,Belgique,Fabuleux,L'emplacement est idéal. Les services proposés sont top.,,Septembre 2022,Commentaire envoyé le 21 septembre 2022
120,Bruno,9.0,France,Fabuleux,La tranquillité,,Septembre 2022,Commentaire envoyé le 20 septembre 2022
121,Audrey,8.0,France,super séjour,"l’emplacement, la forêt, la tranquillité, la propreté","manque de prise de courant, piscine trop froide",Septembre 2022,Commentaire envoyé le 19 septembre 2022
122,A-marie,9.0,France,Sejour sympa...,"Calme,environnement nature,terrasse privée,emplacement voiture , grandeur logement","Les lits grincent tous...le manque de liquide vaisselle ,éponge ,torchon....et il manque un éclairage d'ambiance dans la pièce principale,ainsi que au dessus de l'évier",Septembre 2022,Commentaire envoyé le 17 septembre 2022
123,Florian,8.0,France,Très bien,"Petit supermarché sur place, pratique Piscine et équipements liés Bungalow bien pensé Emplacement rapide pour Disneyland","Personnel qui ne répond pas aux mails d'avant arrivée Propreté à désirer dans 1 des 2 bungalows Grille du barbecue non nettoyé, impossible de s'en servir",Septembre 2022,Commentaire envoyé le 16 septembre 2022
124,Louis,8.0,Belgique,Très bien,Piscine extra et personnel super sympa,Voiture indispensable étant donné les distances à parcourir et pas de  navette vers le parc Disneyland,Septembre 2022,Commentaire envoyé le 13 septembre 2022
125,Melinda,9.0,France,Fabuleux,Piscine et restaurant au top,,Septembre 2022,Commentaire envoyé le 12 septembre 2022
126,Silvio,8.0,Belgique,Bon séjour,"Employés supers sympas, l'ambiance, le lieu, les petites attentions dans la chambre.",J'aime les lits durs mais là le matelas était beaucoup trop dur. J'ai même vérifié que je n'étais pas couché sur une planche...,Septembre 2022,Commentaire envoyé le 12 septembre 2022
127,Estelle,9.0,France,Très bon moment !,L’accueil très chaleureux de Vitor ! Merci à lui pour sa bonne humeur et son dynamisme !  Le mobil home correspondait aux attentes  La piscine est top,Literie gagnerait à être plus confortable  Eau chaude qui se vide trop vite… quand on est 6 !,Septembre 2022,Commentaire envoyé le 8 septembre 2022
