,0,1,2,3,4,5,6,7
48,Lefebvre,10.0,France,"fabuleux, magique, fantastique, des souvenirs gravés à jamais","les décors, l’ambiance. tout étais parfait",absolument rien tout était au top de nos attentes,Juin 2022,Commentaire envoyé le 20 juin 2022
49,Guidez,10.0,France,Exceptionnel,localisation,,Juin 2022,Commentaire envoyé le 7 juin 2022
50,Sandrine,8.0,Suisse,Bel hôtel mais trop cher.,"Restaurant Manhattan excellent Chambre confortable, personnel très agréable",Les ascenseurs très souvent en panne. Les escaliers seulement jusqu au 3ème étage. Certains clients très bruyants avec des enfants tout aussi bruyants.,Juin 2022,Commentaire envoyé le 5 juin 2022
51,Michel,7.0,Suisse,"bien , sans plus ….",la gentillesse du personnel  la propreté  les décors,pas de bar ouvert le matin  pas de douche dans les chambres  pas de brosse dans les toilettes  aucun film Marvel dispo sans l appli Disney  rapport qualité prix surfait  petit déjeuner buffet  à 28 euros …..  piscine triste,Mai 2022,Commentaire envoyé le 29 mai 2022
52,Elsaa,10.0,France,super séjour,"le déco était incroyable, et la chambre était parfaite",,Mai 2022,Commentaire envoyé le 27 mai 2022
53,Jean-baptiste,10.0,France,un séjour inoubliable,l’ambiance et la qualité exceptionnelle du personnel,les tarifs,Avril 2022,Commentaire envoyé le 25 mai 2022
54,Fernandez,10.0,France,Exceptionnel,"Chambre très confortable grande pour un séjour en famille, baignoire,clim, télévision sous un miroir et accueil personnalisé. La piscine est au top!  À 5 minutes à pieds de Disneyland",Il manque une poubelle dans la chambre. Mais c'est tout😆le reste est parfait!,Mai 2022,Commentaire envoyé le 21 mai 2022
55,Arthur,7.0,Belgique,Sympa mais sans plus pour cette fois ci…,Merci à Pedro Jesus de la réception de l’Empire State Club qui a été le seul Cast de tout l’Empire a m’avoir souhaité un joyeux anniversaire (en précisant que nous venions pour mon anniversaire) et de sa touche de magie ainsi que son cadeau qui m’a fait un plaisir fou! Très belle chambre avec équipement nickel et tres propre.,Je trouve inadmissible au prix de la chambre en Empire State Club d’avoir une vue sur le parking. J’étais venu en février en chambre supérieure et mon expérience était bien meilleure qu’avec une expérience ^VIP^. En arrivant on dit que c’est mon anniversaire et tout ce qu’on nous dit c’est ^Ah super alors on vous propose un gâteau pour le restaurant de ce soir^ … même pas un joyeux anniversaire on pense direct au marketing… Assez déçu du séjour en général mais quelques notes positives qui ont rattrapé la note sinon j’aurai mis 4…,Mai 2022,Commentaire envoyé le 20 mai 2022
56,Laetitia,10.0,France,Exceptionnel,Le décor était impressionnant. Juste magique et féerique,Rien ne me vient à l'esprit,Avril 2022,Commentaire envoyé le 16 mai 2022
57,Parker,9.0,France,Féerique,Le personnel est très professionnel et très aimable,Malheureusement la chose que j’ai moins apprécier lors de ce séjour c’est les savons mise à disposition dans l’hôtel qui m’ont donner des boutons un peu partout sur le corps et un peu démangeaisons,Avril 2022,Commentaire envoyé le 14 avril 2022
58,Jean,10.0,France,La magie était au rendez -vous !!,"Chambre spacieuse et confortable dans le thème de l'hotel / Restaurants , Bars ,Boutiques également dans le thème ""Art of Marvel"" Excellent",Ne changez rien......,Mars 2022,Commentaire envoyé le 14 avril 2022
59,Anne,10.0,France,Exceptionnel,tout était parfait un excellent souvenir,,Mars 2022,Commentaire envoyé le 13 avril 2022
60,Nadege,8.0,France,Très bien,,Le personnel du restaurant,Mars 2022,Commentaire envoyé le 9 avril 2022
61,Angelique,10.0,Belgique,Exceptionnel,La chambre,Le personnel extérieur pas très accueillant,Mars 2022,Commentaire envoyé le 7 avril 2022
62,Thierry,8.0,Belgique,Très bien,"la chambre, lit , salle de bain . Le décor de l’hôtel et l’ambiance",Le buffet n’était pas assez garni de plats différents. De la poussière sur l’écran tv dans la chambre ( pour un hôtel de ce standing ) . 🤨,Mars 2022,Commentaire envoyé le 3 avril 2022
63,Steven,7.0,France,bien mais peut mieux faire,"une équipe professionnelle, le thème Marvel idéal pour les fans et enfants mais également les curieux, la piscine et son jacuzzi.","chambre assez bruyante, aucunes boissons dans le bar, entretient (maintenance)  limite pour un établissement 4 étoiles. (surtout par rapport au prix des chambres)",Avril 2022,Commentaire envoyé le 1 avril 2022
64,Dalila,10.0,France,Agréable,"la déco, le confort des chambres et le personnel souriant et à l’écoute",,Mars 2022,Commentaire envoyé le 31 mars 2022
65,Anne,8.0,France,"bon séjour dans un cadre branché, dommage que les oreillers aient été si durs","La décoration de l hotel et de la chambre, la propreté, la réception au restaurant",les oreillers étaient très durs : j'ai très mal dormi,Mars 2022,Commentaire envoyé le 31 mars 2022
66,Steve,8.0,Belgique,À visiter !,"Découverte d'un très bel hôtel,  Personnel aux petits soins,  Large choix au buffet, Le tout, proche du parc 😉",. .,Mars 2022,Commentaire envoyé le 31 mars 2022
67,Marie2191,9.0,France,Fabuleux,J ai aimé la décoration les casts la chambre l accueil et la proximité des parcs,On attend très longtemps l ascenseur 5 10 minutes à chaque fois,Mars 2022,Commentaire envoyé le 30 mars 2022
68,Micheline,8.0,France,séjour familial à Disney,"l’emplacement  la décoration  les équipements ( piscine, salle de fitness)",l’attente à la réception  l’attente du roof service,Mars 2022,Commentaire envoyé le 30 mars 2022
69,Caroline,9.0,France,Un moment inoubliable pour les enfants comme pour les grands,Nous avons passé un agréable moment à l'hôtel MARVEL. Le personnel est très sympathique et très à l'écoute de ses clients. Ce lieu est magique !,Nous avons passé une seule nuit et nous avons tout apprécié.,Mars 2022,Commentaire envoyé le 30 mars 2022
70,Frédérique,9.0,France,,,,Mars 2022,Commentaire envoyé le 30 mars 2022
71,Valérie,8.0,France,Magique,"L'hôtel est très beau, le personnel est bienveillant, la proximité avec Disney Village","Le fait qu'on nous ai pressé pour quitter la chambre, le matin en frappant et ouvrant la porte à 3 reprises tout en sachant que nous avons quittés notre chambre à 10h20.",Mars 2022,Commentaire envoyé le 29 mars 2022
72,Manon,10.0,Belgique,Exceptionnel,L'hôtel est vraiment confortable et magnifique. Le membre du personnel est serviable et souriant,Les lits sont beaucoup trop petits !,Mars 2022,Commentaire envoyé le 28 mars 2022
73,Océanedbrll,9.0,France,Fabuleux,"L'emplacement, la propriété des chambres et les espaces de restaurations.",Certains cast members non pas été très agréable.,Mars 2022,Commentaire envoyé le 28 mars 2022
74,Marco,10.0,Pays-Bas,"magnifique hôtel avec un staff au top, le tout au plus près des parcs Disney",le decor Marvel. la proximité immédiate des parcs Disney. la gentillesse et le professionnalisme des cast members.,"on a eu de la peine à obtenir la bonne température dans la chambre.  Dans la salle de bain, il y a des toilettes séparées par une cloison.  Dommage que la cloison soit transparente…..",Mars 2022,Commentaire envoyé le 28 mars 2022
75,Emeline,9.0,France,sympa,j’ai aimer l’accueil le lieu les cast members de la hero station ainsi que l’équipe du petit déjeuner du dimanche 27 mars surtout ingrid et Loïc et clément notre art guardian qui nous as beaucoup apportée sur les chef d’œuvres de l’hôtel  le lieu de la hero station et la rencontre avec spider man,le fait d’attendre nos peignoir pour la piscine  pas assez de bouteilles d’eau au nombre de personne de la chambre,Mars 2022,Commentaire envoyé le 27 mars 2022
76,Hachimia,9.0,France,Super Moment,Surprise pour l anniversaire de mon fils qui ne savait plus où donner de la tete . Finallement un sejour qui a plut aux petits et aux grands .,,Mars 2022,Commentaire envoyé le 27 mars 2022
77,Tony,10.0,France,heureux.,le décor de Marvel et les cast member sont très sympa.,j’en ai pas.,Mars 2022,Commentaire envoyé le 27 mars 2022
78,Othman,10.0,France,Exceptionnel,tout est fait pour passer un séjour magique,,Mars 2022,Commentaire envoyé le 26 mars 2022
79,Steve,9.0,France,Fabuleux,Tout était parfait sauf l'insonorisation,On entend tres fort la chambre a côté,Mars 2022,Commentaire envoyé le 26 mars 2022
80,Kevin,10.0,France,je recommande sans hésitation,personnel très aimable et à l’écoute. restaurant avec du choix et très bon. chambre propre et moderne,,Mars 2022,Commentaire envoyé le 25 mars 2022
81,Nadège,8.0,France,Très bien,l ensemble . était à la convention MegAgence  tout était parfait,,Mars 2022,Commentaire envoyé le 25 mars 2022
82,Patricia,10.0,France,exceptionnel. fantastique,tout ! le personnel est exceptionnel !,,Mars 2022,Commentaire envoyé le 24 mars 2022
83,Stephanie,9.0,France,Fabuleux,"hôtel au top, déco Marvel très bien, très bien situé",les Tarifs du buffet,Mars 2022,Commentaire envoyé le 24 mars 2022
84,Alice,8.0,France,"Séjour inoubliable, je recommande","L'ambiance, la décoration, la propreté, les équipements dont piscine chauffée/sauna/hammam de 8h à 22h, les activités proposées, le personnel, la situation à quelques minutes à pied des parcs Disney (en passant par Disney Village).","Malheureusement, nous avions une chambre sous un restaurant donc nous avons entendu les bruits de chaise et autre jusqu'à 1h30 du matin puis le matin à partir de 6h30... évitez la chambre 2239 si vous voulez dormir!",Mars 2022,Commentaire envoyé le 23 mars 2022
85,Vulcain78,8.0,Belgique,"Gros manquement pour un ""hôtel 4 étoiles""",L'hôtel est bien situé et propre. Lit confortable.,"Le hall d'entrée manque de quelques choses style une statue Marvel. Nous avions 2 chambres, dans aucune des 2 la TV n'allait. Ok on ne va pas à Disneyland pour ça mais à 400€ la nuit c'est inadmissible !",Mars 2022,Commentaire envoyé le 23 mars 2022
86,Téfanic,8.0,France,Très bon séjour,"Excellent service, personnel aux petits soins avec les clients",Il faisait chaud dans la chambre  Les tarifs du restaurant sont un peu élevés mais on est à Disney,Mars 2022,Commentaire envoyé le 22 mars 2022
87,Lna078,10.0,France,Exceptionnel,Magnifique hôtel Super personnel Rencontre avec spiderman sur réservation pour les résidents de l'hôtel,"Dommage piscine à 1,60m non nivelé",Mars 2022,Commentaire envoyé le 22 mars 2022
88,Sandrine,10.0,France,séjour Disney,tout,rien,Mars 2022,Commentaire envoyé le 22 mars 2022
89,Marion,7.0,France,Bien,"La literie, la piscine",La chambre n'était pas propre.,Mars 2022,Commentaire envoyé le 22 mars 2022
90,Carole,10.0,France,Exceptionnel,La propreté Le cadre Les animations La décoration,,Mars 2022,Commentaire envoyé le 22 mars 2022
91,Chloe,10.0,France,magnifique,les chambres,ras,Mars 2022,Commentaire envoyé le 22 mars 2022
92,Julie,9.0,France,Fabuleux,"le personnel, la localisation",,Mars 2022,Commentaire envoyé le 18 mars 2022
93,Marie,8.0,Belgique,Très bien,"Hôtel magnifique,  chambre spacieuse avec une excellente literie. Le repas au Manhattan était un régal avec un personnel sympathique et souriant.",Rien,Mars 2022,Commentaire envoyé le 18 mars 2022
94,Julien,8.0,France,"Début difficile, suite logique","Malgré un début très très compliqué sur la chambre, nous avons eu la chance d’être surclassé en suite super héros.  C’était je pense le minimum pour essayer de nous faire oublier cette mésaventure à notre arrivée. Réussi, car nous étions à la base présent dans cet hôtel pour les enfants  Ils ont apprécié, donc séjour réussi !!","La mésaventure du début qui pose question sur l’hôtel, le personnel et son implication au service de l’hôtel  Autre point de déception : manque de personnages prennent dans l’hôtel pour des photos, nous avons vu aucun Marvel sauf des figurines… la magie c’est de pouvoir en voir régulièrement notamment à ce prix…",Mars 2022,Commentaire envoyé le 18 mars 2022
95,Maud,10.0,France,Exceptionnel,"L'emplacement est idéal, l hotel nous immerge au sein de l univers marvel et c est un retour en enfance !",Ras,Mars 2022,Commentaire envoyé le 17 mars 2022
96,Artisan,10.0,France,👍,le de Decor,rien,Mars 2022,Commentaire envoyé le 17 mars 2022
97,Cyprien,10.0,France,Exceptionnel,"Le confort de la literie, les équipements (TV miroir, sèche cheveux, Bluetooth salle d'eau, frigo,...) Le restaurant Downtown",Le prix un peu excessif,Mars 2022,Commentaire envoyé le 16 mars 2022
98,Gwenaelle,8.0,France,Génial !! 🤩,"Pour les FANS de MARVEL, c’est magique!!!  La chambre est superbe 🤩 et très confortable!  Le restaurant Manhattan, les bars et le Lounge sont très beaux et très bons 😋",,Mars 2022,Commentaire envoyé le 16 mars 2022
99,Vanessa,8.0,France,"si le prix était plus abordable, nous reviendrions plus souvent c’est certain","l’ambiance, les décors de l’univers Marvel, la décoration de la chambre",nous avions réservé une chambre supérieure avec terrasse pour 3.  nous n’avons pas eu de terrasse et le lit de notre fils était en fait un canapé convertible non équipé de draps à notre arrivée. Nous avons dû demander 3 fois avant que le lit soit installé. La piscine de l’établissement a le mérite d’exister mais reste somme toute très basique.,Mars 2022,Commentaire envoyé le 16 mars 2022
100,Angie,10.0,France,Exceptionnel,Le meilleur hôtel du parc,,Mars 2022,Commentaire envoyé le 16 mars 2022
101,Mickael,10.0,France,magique,le concept de l’hôtel excellent pour ceux qui aiment marvel.,RAS,Mars 2022,Commentaire envoyé le 16 mars 2022
102,Kinvizer,8.0,France,Hôtel 4 étoiles Marvel très confortable et idéalement situé,"- Hôtel à 5 minutes à pied du parc - Hôtel entièrement rénové à l'effigie Marvel, sublime et très grand - Chambre, même standard, de grande taille et literie très confortable - Isolation phonique avec couloir et chambres latérales parfaite",- Isolation phonique avec étage supérieur médiocre (bruits de pas notamment),Mars 2022,Commentaire envoyé le 14 mars 2022
103,Pôle,8.0,La Réunion,Très bien,"Les activités proposées pour les enfants, La literie L'accueil, le professionnalisme, et la réactivité du personnel","La propreté de la chambre, la différence de coût pour le petit déjeuner sur place par rapport au site Internet",Mars 2022,Commentaire envoyé le 14 mars 2022
104,Olivier,9.0,France,Fabuleux,"L'ambiance et la qualité des matériaux, lits. Ainsi que la thématique Marvel",Rien,Mars 2022,Commentaire envoyé le 14 mars 2022
105,Aline,9.0,France,Fabuleux,Le thème marvel,Les prix élevés des consommations  L attente pour déjeuner ou prendre un verre,Mars 2022,Commentaire envoyé le 13 mars 2022
106,Rudy,10.0,Belgique,magique,"tout! gentillesse du personnel, activités Marvel, parfum de l’hôtel, décorations…",le prix 😉,Mars 2022,Commentaire envoyé le 13 mars 2022
107,Valerie,10.0,France,Exceptionnel,Le luxe et le grand confort de la chambre,,Mars 2022,Commentaire envoyé le 13 mars 2022
108,Lucie,9.0,France,Fabuleux,"Le personnel exceptionnel même après la fin du séjour (on avait oublié les doudous, ils ont été retrouvés très vite, mis de côté...)",,Mars 2022,Commentaire envoyé le 13 mars 2022
109,Elodie,10.0,France,Excellent séjour,"décoration, confort du lit,  localisation, piscine, disponibilité du personnel",,Mars 2022,Commentaire envoyé le 13 mars 2022
110,Sebastien,10.0,France,Magnifique,Chambre parfaite au delà de mes attentes tous étai parfait douche toilette vraiment top,Rien,Mars 2022,Commentaire envoyé le 12 mars 2022
111,Alicia,10.0,France,parfait !,"juste excellent, exceptionnel du début à la fin tout était parfait la chambre, le personnel, le petit déjeuner c’est une pépite",RAS,Mars 2022,Commentaire envoyé le 11 mars 2022
112,Sylvain,9.0,France,"Très contente de mon séjour dans cette établissement, je le conseille fortement","la chambre était parfaite, les décos incroyables, le personnels parfait, d'une gentillesse extreme, les prix des repas sont onéreux mais ce n'est pas un petit hôtel donc cela ce comprend mais moins cher pour le petit déjeuné cela serait sympa. nous n'avons pas pu malheureusement utiliser la piscine, faute de temps, mais les animations avec les super héros étaient tout simplement GENIAL mes enfants ont adorés et veulent y retourner...",RIEN,Mars 2022,Commentaire envoyé le 11 mars 2022
113,Laëti,10.0,France,genial certes cela est cher mais l'hotel est magnifique,"le personnel disponible, la propreté, le confort",rien,Mars 2022,Commentaire envoyé le 11 mars 2022
114,Julien,8.0,Portugal,dans l’ensemble magique on retourne dans l’enfance !!,"le petit déjeuner excellent au top ainsi que le goûter super , par contre restaurant Manhattan déçu mauvaise qualité , personnel au top excellent emplacement parfait",restaurant Manhattan déçu nourriture mauvaise qualité et dans la chambre il ni avait pas de brosse pour nettoyer les toilettes …,Mars 2022,Commentaire envoyé le 11 mars 2022
115,Rosa,10.0,France,Une expérience excellente!,"La thème, l’ambiance et surtout l’accueil du personnel au top!!",Rien. Tout était parfait.,Mars 2022,Commentaire envoyé le 11 mars 2022
116,Moriaucourt,9.0,France,Au top,"Hôtel très sympathique à deux pas des parcs, confort et luxe sur le thème des super héros. C’est un budget d’y séjourné mais cela reste une expérience exceptionnelle. Castmembers toujours aussi sympa et à l’écoute!",,Mars 2022,Commentaire envoyé le 10 mars 2022
117,Sarah,10.0,Belgique,Mon séjour était au delà de la perfection,"Tout était exceptionnel, un cadre parfait , le petit-déjeuner était excellent , très propre, personnel aux petits soins et d’une grande gentillesse! Nous reviendrons sans aucun doute ! Un réel bonheur !",,Mars 2022,Commentaire envoyé le 10 mars 2022
118,Almu1985,8.0,Belgique,Très bien,"Hôtel moderne . Le personnel est adorable, la nourriture très bonne. La décoration au top pour les fans .",Ça reste un sacré budget .  Nous avions un bruit bizarre qui se repetait dans notre chambre toute les heures.,Mars 2022,Commentaire envoyé le 10 mars 2022
119,Ludivine,10.0,France,Exceptionnel,Tout,Le tarif des repas,Janvier 2022,Commentaire envoyé le 10 mars 2022
120,Anthony,10.0,France,Exceptionnel,Tout,Le prix pas forcément accessible pour tous !  Un restaurant moins chère / fast food pourrait être sympa et éventuellement un Starbucks .  J'aimerais beaucoup le trônes a thanos pour la super héros station .  Merci,Mars 2022,Commentaire envoyé le 10 mars 2022
121,Sarah,8.0,France,Super voyage pour les,Le personnel est très agréable et vous avez beaucoup de choix d’activité et de restaurants  Très bien placé par rapport au parc,"Les chambres sont mal insonorisées, pas de peignoir ni chaussons dans la chambre ( a 400€ la nuit c’est le minimum) et pas de lait de corps dans la Salle de bains . En hiver c’est appréciable ces détails",Mars 2022,Commentaire envoyé le 9 mars 2022
122,Laetitia,9.0,Belgique,Séjour de rêve mais qui se paie !,l emplacement de l hôtel est top Une immersion totale dans le monde de Marvel Les chambres sont belles. La gentillesse du personnel,Les petits déjeuners non compris. Les prix exorbitants,Mars 2022,Commentaire envoyé le 9 mars 2022
123,Diane,10.0,France,"Très bon séjour, je conseille vivement","la chambre, les restaurants, les bars, la piscine de l'hôtel sont parfait. Un chaleureux accueil, on a pu faire appel à la conciergerie de l'hôtel pour réserver un diner dans l'un des restaurants de l'hôtel","On a juste aperçu sur le rebord de notre fenêtre de chambre des mégots de cigarette a l'extérieur de notre chambre. C'est un peu dommage, car ca gâche l'image de ce super hôtel",Janvier 2022,Commentaire envoyé le 8 mars 2022
124,Christina,10.0,France,Exceptionnel,"chambre, accès au parc à proximité.  Beaucoup de monde Bon rapport qualité prix",,Mars 2022,Commentaire envoyé le 8 mars 2022
125,Horvatade,10.0,France,Exceptionnel,"L'ambiance ultra stylé, les lits méga confortables  tout était parfait! Je reviendrai !",,Mars 2022,Commentaire envoyé le 8 mars 2022
